SLF943,CompID,cntr_id,line_num,po_num / Ref#,itm_Num,itm_color,itm_size,itm_name,itm_qty,ctn_qty,ctns,L,W,H,Ctn_cube,ctn_wgt,ENTRY-DT,ETA-DT,SUPPLIER,Hdr-Note,Dtl-Note
SLF943,QUEST,309295461,1,,IJ17-BEAD-BLK,ACD,6PK,ACADEMY-IJOY BEAD WIRELESS SPEAKER,6,6,1,,,,3,3,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,2,,IJ17-DMNSP-LGR,-,-,IJOY SOUL SPEAKER - PACKED 0/12 ,12,12,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,3,,IJ17-HRSP-ATL-GN,GREEN,12PK,IJOY GREEN ATLANTIC WIRELSS SPEAKERS. PACKED 12/BOX,24,12,2,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,4,,IJ17-HRSP-ATL-GY,GREY,12PK,IJOY GREY ATLANTIC WIRELSS SPEAKERS. PACKED 12/BOX,6,6,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,5,,IJ17-HRSP-ATL-NV,NAVY,12PK,IJOY NAVY ATLANTIC WIRELSS SPEAKERS. PACKED 12/BOX,6,6,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,6,,IJ17-HRSP-ATL-RD,INV,-,INVENTORY-ATLANTIC BT SPEAKER - PACKED 6/12 - COLOR RED,6,6,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,7,,IJ17-HRSP-BNT-BG,-,-,IJOY BEIGE PINK NOTE WIRELESS SPEAKER,12,6,2,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,8,,IJ17-HRSP-BNT-GY,-,-,IJOY GREY NOTE WIRELESS SPEAKER,12,6,2,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,9,,IJ17-HRSP-EDS-GN,-,-,INVENTORY- SPEAKER - PACKED 6/12 ,24,12,2,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,10,,IJ17-HRSP-EDS-RD,-,-,INVENTORY- SPEAKER - PACKED 6/12 ,6,6,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,11,,IJ17-LLFS-WT,-,-,ACADEMY IJOY LLFS WIRELESS OVER EAR HEADSETS WHITE ,3,3,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,12,,IJ-ACTTR-BLK-6PK,-,-,IJOY ACTIVITY TRACKER FOR KIDS - 6PK - COLOR BLACK,90,6,15,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,13,,IJ-ACTTR-BLK-6PK,-,-,IJOY ACTIVITY TRACKER FOR KIDS - 6PK - COLOR BLACK,6,3,2,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,14,,IJ-ACTTR-BLU-6PK,-,-,IJOY ACTIVITY TRACKER FOR KIDS - 6PK - COLOR BLUE,168,6,28,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,15,,IJ-ACTTR-MNT-24PK,-,-,IJOY ACTIVITY TRACKER FOR KIDS - 24PK - COLOR MINT,120,24,5,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,16,,IJ-ACTTR-PNK-24PK,-,-,IJOY ACTIVITY TRACKER FOR KIDS - 24PK - COLOR PINK,48,24,2,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,17,,IJ-ACTTR-PNK-6PK,-,-,IJOY ACTIVITY TRACKER FOR KIDS - 6PK - COLOR PINK,180,6,30,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,18,,IJ-BNQ-USA-ACD,-,-,ACADEMY- IJOY BIONIQ BT NECKBAND - PACKED 3/6 - COLOR BLACK/BLUE,114,6,19,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,19,,IJ-BTW66-MNT,-,-,INVENTORY- SPEAKER - PACKED 4/4,12,4,3,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,20,,IJCAC1002-PP,-,-,6FT 2-IN-1 COLORFUL CABLE PURPLE/WHITE PACKED 24,24,24,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,21,,IJHP1001-BKGL,INV,-,IJOY PRESLEY BT RETRO HEADPHONES - 24PACK - COLOR BLACK/ GOLD,12,6,2,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,22,,IJHP1001-BKSL,-,-,INVENTORY-IJOY PRESLEY BT RETRO HEADPHONES - 24 PACK - COLOR BLACK/SILVER,12,6,2,,,,3,2,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,23,,IJOY-KDSH-BRS,-,-,IJOY KIDS SAFE HEADPHONES - 6PACK - COLOR BLACK GREY,36,6,6,,,,3,2,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,24,,IJOY-KDSH-BLP,-,-,IJOY KIDS SAFE HEADPHONES - 6PACK - COLOR BLUE PURPLE,186,6,31,,,,3,2,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,25,,IJOY-BEACH-B-IND,INV,24-Dec,INV-IJOY BEACH BOMB SPEAKERS-PACKED BY COLOR 12/24-COLOR INDIGO,24,24,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,26,,IJOY-BEACH-B-LEM,-,-,INVENTORY-IJOY BEACH BOMB BT SPEAKER - PACKED 24PK -COLOR LEMON,96,24,4,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,27,,IJOY-BEACH-B-MAR,INV,24-Dec,INV-IJOY BEACH BOMB SPEAKERS-PACKED BY COLOR 12/24-COLOR MARINE,24,24,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,28,,IJOY-BEACH-B-MNT,INV,24-Dec,INV-IJOY BEACH BOMB SPEAKERS-PACKED BY COLOR 12/24-COLOR MINT,24,24,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,29,,IJOY-BEACH-B-VLT,-,-,INVENTORY-IJOY BEACH BOMB BT SPEAKER - PACKED 6/24 -COLOR VIOLET,240,6,40,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,30,,IJ-SPW-BGRY-INV,-,-,INVENTORY-IJOY SPORTS WAVE EARBUDS - 6 PACK - COLOR GRAY BLACK,30,6,5,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,31,,IJ-SPW-SIL-INV,-,-,INVENTORY-IJOY SPORTS WAVE EARBUDS - 6 PACK - COLOR SILVER/WHITE,78,6,13,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,32,,IJ-YRY-01,-,-,IJOY VIRTUAL REALITY VR BOXES,168,12,14,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,33,,LGO-PRE-RED-AMZ,-,-,IJOY WIRELESS OVER EAR HEADSET 12/24,24,24,1,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,34,,LGO-NCB-RCK,-,-,IJOY LOGO NECK WIRELESS HEADPHONES,204,12,17,,,,3,2,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,35,,MD-SPRK-PNK,-,-,MOONDAY SPARKLY HEADPHONES,600,24,25,,,,3,2,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,36,,MN17-MN18 ASST 48PK,-,-,MONET WALLET ASSORTED PACKED 4/12 WHITE PACKAGE,288,48,6,,,,3,2,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,37,,MN17-SLD-BLK-6/24,INV,-,INVENTORY-MONET WALLET WITH TPU STRAP - PACKED 6/24 - BLACK PACKAGE,912,24,38,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,38,,MN17-SLD-NE-OCBL,-,-,INV-MONET WALLET -PACKED 3/12- COLOR OCEAN BLUE. BLACK PACKAGING,1488,12,124,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,39,,MN17-SLD-PPL,-,-,INV-MONET WALLET -PACKED 6/24- WHITE PACKAGING,2352,24,98,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,40,,MN17-SLD-PST-PCH,-,-,INV-MONET WALLET -PACKED 6/24- WHITE PACKAGING,24,24,1,,,,3,1,11/15/2019,11/15/2019,,,
